community_id,community_name,theme_label,sponsor_category,audience_interest_score,commercial_intent_score,brand_relevance_score,brand_safety_score,sponsor_fit_score,priority_label,confidence_label,brand_safety_label,opportunity_summary,recommended_commercial_action,top_evidence_terms,commercial_intent_terms,post_count,engagement_score,commercial_intent_records,brand_relevance_records,brand_safety_risk_records
demo_shameless_community,Demo Shameless Community,tabloid ethics,Tabloid Ethics Circling Circling Tabloid Ethics Tabloid Ethics Tabloid Ethics Tabloid Ethics Audience Fit,49.4,67.1,76.0,100.0,67.6,Medium,Low,Sponsor safe,"Tabloid Ethics Circling Circling Tabloid Ethics Tabloid Ethics Tabloid Ethics Tabloid Ethics Audience Fit is derived from the 'tabloid ethics' theme. It has 1 posts, engagement score 7.0, fit score 67.6, and brand-safety status 'Sponsor safe'.","Validate the 'tabloid ethics' theme with source evidence, then pitch a small partnership test around these audience terms: tabloid ethics circling, circling tabloid ethics, tabloid ethics tabloid, ethics tabloid ethics, ethics circling tabloid, tabloid ethics.","tabloid ethics circling, circling tabloid ethics, tabloid ethics tabloid, ethics tabloid ethics, ethics circling tabloid, tabloid ethics","tabloid ethics circling, circling tabloid ethics, tabloid ethics tabloid, ethics tabloid ethics, ethics circling tabloid, tabloid ethics",1,7.0,1,1,0
demo_shameless_community,Demo Shameless Community,celebrity memoirs,Celebrity Memoirs Celebrity Memoirs Memoirs Celebrity Memoirs Celebrity Memoirs Audience Fit,44.1,56.1,82.0,100.0,63.7,Medium,Low,Sponsor safe,"Celebrity Memoirs Celebrity Memoirs Memoirs Celebrity Memoirs Celebrity Memoirs Audience Fit is derived from the 'celebrity memoirs' theme. It has 2 posts, engagement score 4.5, fit score 63.7, and brand-safety status 'Sponsor safe'.","Validate the 'celebrity memoirs' theme with source evidence, then pitch a small partnership test around these audience terms: celebrity memoirs, celebrity memoirs, memoirs celebrity memoirs, celebrity memoirs, celebrity memoirs celebrity, memoirs.","celebrity memoirs, celebrity memoirs, memoirs celebrity memoirs, celebrity memoirs, celebrity memoirs celebrity, memoirs","celebrity memoirs, celebrity memoirs, memoirs celebrity memoirs, celebrity memoirs, celebrity memoirs celebrity, memoirs",2,4.5,2,2,0
demo_shameless_community,Demo Shameless Community,brand founder scandals,Brand Founder Scandals Founder Scandals Brand Scandals Brand Founder Founder Scandals Audience Fit,42.9,60.7,76.0,100.0,63.4,Medium,Low,Sponsor safe,"Brand Founder Scandals Founder Scandals Brand Scandals Brand Founder Founder Scandals Audience Fit is derived from the 'brand founder scandals' theme. It has 1 posts, engagement score 6.0, fit score 63.4, and brand-safety status 'Sponsor safe'.","Validate the 'brand founder scandals' theme with source evidence, then pitch a small partnership test around these audience terms: brand founder scandals, founder scandals brand, scandals brand founder, founder scandals, scandals brand, scandals.","brand founder scandals, founder scandals brand, scandals brand founder, founder scandals, scandals brand, scandals","brand founder scandals, founder scandals brand, scandals brand founder, founder scandals, scandals brand, scandals",1,6.0,1,1,0
demo_shameless_community,Demo Shameless Community,girlboss backlash,Girlboss Backlash Girlboss Backlash Girlboss Backlash Girlboss Backlash Audience Fit,46.4,60.6,64.5,100.0,62.3,Medium,Medium,Sponsor safe,"Girlboss Backlash Girlboss Backlash Girlboss Backlash Girlboss Backlash Audience Fit is derived from the 'girlboss backlash' theme. It has 4 posts, engagement score 3.5, fit score 62.3, and brand-safety status 'Sponsor safe'.","Validate the 'girlboss backlash' theme with source evidence, then pitch a small partnership test around these audience terms: girlboss backlash, girlboss backlash, girlboss backlash, girlboss backlash, backlash, backlash.","girlboss backlash, girlboss backlash, girlboss backlash, girlboss backlash, backlash, backlash","girlboss backlash, girlboss backlash, girlboss backlash, girlboss backlash, backlash, backlash",4,3.5,4,2,0
demo_shameless_community,Demo Shameless Community,sad girl pop,Pop Circling Sad Sad Girl Pop Girl Pop Sad Girl Audience Fit,54.3,74.9,46.0,60.0,59.7,Medium,High,Review before pitching,"Pop Circling Sad Sad Girl Pop Girl Pop Sad Girl Audience Fit is derived from the 'sad girl pop' theme. It has 5 posts, engagement score 4.2, fit score 59.7, and brand-safety status 'Review before pitching'.","Validate the 'sad girl pop' theme with source evidence, then pitch a small partnership test around these audience terms: pop circling sad, sad girl pop, girl pop, sad girl.","pop circling sad, sad girl pop, girl pop, sad girl","pop circling sad, sad girl pop, girl pop, sad girl",5,4.2,5,3,2
demo_shameless_community,Demo Shameless Community,poll you like guest more,Poll Like Guest Guest Poll Guest Host Chats Audience Fit,36.5,54.4,76.0,100.0,59.3,Medium,Low,Sponsor safe,"Poll Like Guest Guest Poll Guest Host Chats Audience Fit is derived from the 'poll you like guest more' theme. It has 1 posts, engagement score 5.0, fit score 59.3, and brand-safety status 'Sponsor safe'.","Validate the 'poll you like guest more' theme with source evidence, then pitch a small partnership test around these audience terms: poll like guest, guest poll, guest, host chats, like guest, host.","poll like guest, guest poll, guest, host chats, like guest, host","poll like guest, guest poll, guest, host chats, like guest, host",1,5.0,1,1,0
demo_shameless_community,Demo Shameless Community,wellness rebrands,Wellness Rebrands Wellness Rebrands Wellness Rebrands Wellness Rebrands Wellness Rebrands Audience Fit,36.5,54.4,76.0,100.0,59.3,Medium,Low,Sponsor safe,"Wellness Rebrands Wellness Rebrands Wellness Rebrands Wellness Rebrands Wellness Rebrands Audience Fit is derived from the 'wellness rebrands' theme. It has 1 posts, engagement score 5.0, fit score 59.3, and brand-safety status 'Sponsor safe'.","Validate the 'wellness rebrands' theme with source evidence, then pitch a small partnership test around these audience terms: wellness rebrands, wellness rebrands, wellness rebrands wellness, rebrands wellness rebrands, wellness rebrands, rebrands.","wellness rebrands, wellness rebrands, wellness rebrands wellness, rebrands wellness rebrands, wellness rebrands, rebrands","wellness rebrands, wellness rebrands, wellness rebrands wellness, rebrands wellness rebrands, wellness rebrands, rebrands",1,5.0,1,1,0
demo_shameless_community,Demo Shameless Community,cancelled tours,Cancelled Tours Cancelled Tours Cancelled Cancelled Tours Cancelled Tours Audience Fit,28.8,50.2,76.0,100.0,55.3,Medium,Medium,Sponsor safe,"Cancelled Tours Cancelled Tours Cancelled Cancelled Tours Cancelled Tours Audience Fit is derived from the 'cancelled tours' theme. It has 3 posts, engagement score 2.0, fit score 55.3, and brand-safety status 'Sponsor safe'.","Validate the 'cancelled tours' theme with source evidence, then pitch a small partnership test around these audience terms: cancelled tours, cancelled tours cancelled, cancelled tours, cancelled tours, tours, cancelled.","cancelled tours, cancelled tours cancelled, cancelled tours, cancelled tours, tours, cancelled","cancelled tours, cancelled tours cancelled, cancelled tours, cancelled tours, tours, cancelled",3,2.0,3,1,0
demo_shameless_community,Demo Shameless Community,have redemption arcs,Redemption Arcs Redemption Arcs Redemption Arcs Redemption Arcs Redemption Audience Fit,30.1,48.1,76.0,100.0,55.2,Medium,Low,Sponsor safe,"Redemption Arcs Redemption Arcs Redemption Arcs Redemption Arcs Redemption Audience Fit is derived from the 'have redemption arcs' theme. It has 1 posts, engagement score 4.0, fit score 55.2, and brand-safety status 'Sponsor safe'.","Validate the 'have redemption arcs' theme with source evidence, then pitch a small partnership test around these audience terms: redemption arcs, redemption arcs, redemption arcs, redemption arcs redemption, arcs redemption arcs, redemption.","redemption arcs, redemption arcs, redemption arcs, redemption arcs redemption, arcs redemption arcs, redemption","redemption arcs, redemption arcs, redemption arcs, redemption arcs redemption, arcs redemption arcs, redemption",1,4.0,1,1,0
demo_shameless_community,Demo Shameless Community,redemption arcs,Redemption Arcs Redemption Arcs Redemption Arcs Redemption Arcs Redemption Audience Fit,30.1,48.1,76.0,100.0,55.2,Medium,Low,Sponsor safe,"Redemption Arcs Redemption Arcs Redemption Arcs Redemption Arcs Redemption Audience Fit is derived from the 'redemption arcs' theme. It has 1 posts, engagement score 4.0, fit score 55.2, and brand-safety status 'Sponsor safe'.","Validate the 'redemption arcs' theme with source evidence, then pitch a small partnership test around these audience terms: redemption arcs, redemption arcs, redemption arcs, redemption arcs redemption, redemption arcs, arcs redemption arcs.","redemption arcs, redemption arcs, redemption arcs, redemption arcs redemption, redemption arcs, arcs redemption arcs","redemption arcs, redemption arcs, redemption arcs, redemption arcs redemption, redemption arcs, arcs redemption arcs",1,4.0,1,1,0
demo_shameless_community,Demo Shameless Community,the fame fatigue chat,Fame Fatigue Chat Fame Fatigue Fame Fatigue Fatigue Chat Audience Fit,30.1,48.1,76.0,100.0,55.2,Medium,Low,Sponsor safe,"Fame Fatigue Chat Fame Fatigue Fame Fatigue Fatigue Chat Audience Fit is derived from the 'the fame fatigue chat' theme. It has 1 posts, engagement score 4.0, fit score 55.2, and brand-safety status 'Sponsor safe'.","Validate the 'the fame fatigue chat' theme with source evidence, then pitch a small partnership test around these audience terms: fame fatigue chat, fame fatigue, fame fatigue, fatigue chat, fame, chat fame.","fame fatigue chat, fame fatigue, fame fatigue, fatigue chat, fame, chat fame","fame fatigue chat, fame fatigue, fame fatigue, fatigue chat, fame, chat fame",1,4.0,1,1,0
demo_shameless_community,Demo Shameless Community,guest,Guest Guest Guest Guest Guest Audience Fit,26.9,41.8,76.0,100.0,52.2,Medium,Low,Sponsor safe,"Guest Guest Guest Guest Guest Audience Fit is derived from the 'guest' theme. It has 2 posts, engagement score 2.5, fit score 52.2, and brand-safety status 'Sponsor safe'.","Validate the 'guest' theme with source evidence, then pitch a small partnership test around these audience terms: guest, guest, guest, guest guest.","guest, guest, guest, guest guest","guest, guest, guest, guest guest",2,2.5,2,1,0
demo_shameless_community,Demo Shameless Community,parasocial friendship,Parasocial Friendship Parasocial Friendship Parasocial Friendship Parasocial Friendship Friendship Parasocial Audience Fit,21.0,43.3,82.0,100.0,51.7,Medium,Medium,Sponsor safe,"Parasocial Friendship Parasocial Friendship Parasocial Friendship Parasocial Friendship Friendship Parasocial Audience Fit is derived from the 'parasocial friendship' theme. It has 3 posts, engagement score 1.0, fit score 51.7, and brand-safety status 'Sponsor safe'.","Validate the 'parasocial friendship' theme with source evidence, then pitch a small partnership test around these audience terms: parasocial friendship parasocial, friendship parasocial friendship, parasocial friendship, friendship parasocial, friendship.","parasocial friendship parasocial, friendship parasocial friendship, parasocial friendship, friendship parasocial, friendship","parasocial friendship parasocial, friendship parasocial friendship, parasocial friendship, friendship parasocial, friendship",3,1.0,3,2,0
demo_shameless_community,Demo Shameless Community,messy celeb interviews,Messy Celeb Interviews Celeb Interviews Messy Interviews Messy Celeb Messy Celeb Audience Fit,30.5,48.3,58.7,66.7,46.9,Medium,Medium,Moderate risk,"Messy Celeb Interviews Celeb Interviews Messy Interviews Messy Celeb Messy Celeb Audience Fit is derived from the 'messy celeb interviews' theme. It has 3 posts, engagement score 2.33, fit score 46.9, and brand-safety status 'Moderate risk'.","Validate the 'messy celeb interviews' theme with source evidence, then pitch a small partnership test around these audience terms: messy celeb interviews, celeb interviews messy, interviews messy celeb, messy celeb, interviews, messy.","messy celeb interviews, celeb interviews messy, interviews messy celeb, messy celeb, interviews, messy","messy celeb interviews, celeb interviews messy, interviews messy celeb, messy celeb, interviews, messy",3,2.333333333333333,3,2,1
demo_shameless_community,Demo Shameless Community,long read the celebrity memoir boom,Celebrity Memoir Boom Read Celebrity Memoir Long Read Celebrity Memoir Boom Long Audience Fit,17.2,35.5,76.0,100.0,46.9,Medium,Low,Sponsor safe,"Celebrity Memoir Boom Read Celebrity Memoir Long Read Celebrity Memoir Boom Long Audience Fit is derived from the 'long read the celebrity memoir boom' theme. It has 1 posts, engagement score 2.0, fit score 46.9, and brand-safety status 'Sponsor safe'.","Validate the 'long read the celebrity memoir boom' theme with source evidence, then pitch a small partnership test around these audience terms: celebrity memoir boom, read celebrity memoir, long read celebrity, memoir boom long, memoir boom, long read.","celebrity memoir boom, read celebrity memoir, long read celebrity, memoir boom long, memoir boom, long read","celebrity memoir boom, read celebrity memoir, long read celebrity, memoir boom long, memoir boom, long read",1,2.0,1,1,0
demo_shameless_community,Demo Shameless Community,smartest dumb watch,Smartest Dumb Watch Dumb Watch Smartest Dumb Watch April Dumb Watch Audience Fit,17.2,35.5,76.0,100.0,46.9,Medium,Low,Sponsor safe,"Smartest Dumb Watch Dumb Watch Smartest Dumb Watch April Dumb Watch Audience Fit is derived from the 'smartest dumb watch' theme. It has 1 posts, engagement score 2.0, fit score 46.9, and brand-safety status 'Sponsor safe'.","Validate the 'smartest dumb watch' theme with source evidence, then pitch a small partnership test around these audience terms: smartest dumb watch, dumb watch smartest, dumb watch april, dumb watch, recs smartest, april recs.","smartest dumb watch, dumb watch smartest, dumb watch april, dumb watch, recs smartest, april recs","smartest dumb watch, dumb watch smartest, dumb watch april, dumb watch, recs smartest, april recs",1,2.0,1,1,0
demo_shameless_community,Demo Shameless Community,what's your comfort rewatch,Comfort Rewatch Comfort Comfort Rewatch Rewatch Comfort Rewatch Comfort Rewatch Audience Fit,17.2,35.5,76.0,100.0,46.9,Medium,Low,Sponsor safe,"Comfort Rewatch Comfort Comfort Rewatch Rewatch Comfort Rewatch Comfort Rewatch Audience Fit is derived from the 'what's your comfort rewatch' theme. It has 1 posts, engagement score 2.0, fit score 46.9, and brand-safety status 'Sponsor safe'.","Validate the 'what's your comfort rewatch' theme with source evidence, then pitch a small partnership test around these audience terms: comfort rewatch comfort, comfort rewatch, rewatch comfort rewatch, comfort rewatch, rewatch comfort, rewatch.","comfort rewatch comfort, comfort rewatch, rewatch comfort rewatch, comfort rewatch, rewatch comfort, rewatch","comfort rewatch comfort, comfort rewatch, rewatch comfort rewatch, comfort rewatch, rewatch comfort, rewatch",1,2.0,1,1,0
demo_shameless_community,Demo Shameless Community,would you shameless live listen melbourne,Listen Melbourne Shameless Melbourne Shameless Live Melbourne Shameless Live Listen Melbourne Audience Fit,23.7,30.3,6.0,0.0,18.6,Low,Low,Review before pitching,"Listen Melbourne Shameless Melbourne Shameless Live Melbourne Shameless Live Listen Melbourne Audience Fit is derived from the 'would you shameless live listen melbourne' theme. It has 1 posts, engagement score 3.0, fit score 18.6, and brand-safety status 'Review before pitching'.","Validate the 'would you shameless live listen melbourne' theme with source evidence, then pitch a small partnership test around these audience terms: listen melbourne shameless, melbourne shameless live, melbourne shameless, live listen melbourne, shameless live, live.","listen melbourne shameless, melbourne shameless live, melbourne shameless, live listen melbourne, shameless live, live","listen melbourne shameless, melbourne shameless live, melbourne shameless, live listen melbourne, shameless live, live",1,3.0,1,1,1
