community_id,community_name,theme_label,suggested_sponsor_category,commercial_evidence_terms,commercial_score,commercial_confidence,post_count,engagement_score,positive_rate,negative_rate,top_segment_type,top_segment_value,top_segment_records,top_segment_engagement,recommendation_text
demo_shameless_community,Demo Shameless Community,girlboss backlash,Girlboss Backlash Girlboss Backlash Girlboss Backlash Girlboss Backlash Audience Fit,"girlboss backlash, girlboss backlash, girlboss backlash, girlboss backlash, backlash, backlash",37.0,Medium,4,3.5,0.75,0.0,gender,female,2,8,"For Demo Shameless Community, 'girlboss backlash' shows a data-derived Girlboss Backlash Girlboss Backlash Girlboss Backlash Girlboss Backlash Audience Fit opportunity. It has 4 posts, an engagement score of 3.5, a positive rate of 75.0%, and strongest visible audience segment female (gender)."
demo_shameless_community,Demo Shameless Community,have redemption arcs,Redemption Arcs Redemption Arcs Redemption Arcs Redemption Arcs Redemption Audience Fit,"redemption arcs, redemption arcs, redemption arcs, redemption arcs redemption, arcs redemption arcs, redemption",34.0,Low,1,4.0,1.0,0.0,city,Wellington,1,4,"For Demo Shameless Community, 'have redemption arcs' shows a data-derived Redemption Arcs Redemption Arcs Redemption Arcs Redemption Arcs Redemption Audience Fit opportunity. It has 1 posts, an engagement score of 4.0, a positive rate of 100.0%, and strongest visible audience segment Wellington (city)."
demo_shameless_community,Demo Shameless Community,redemption arcs,Redemption Arcs Redemption Arcs Redemption Arcs Redemption Arcs Redemption Audience Fit,"redemption arcs, redemption arcs, redemption arcs, redemption arcs redemption, redemption arcs, arcs redemption arcs",34.0,Low,1,4.0,1.0,0.0,city,Auckland,1,4,"For Demo Shameless Community, 'redemption arcs' shows a data-derived Redemption Arcs Redemption Arcs Redemption Arcs Redemption Arcs Redemption Audience Fit opportunity. It has 1 posts, an engagement score of 4.0, a positive rate of 100.0%, and strongest visible audience segment Auckland (city)."
demo_shameless_community,Demo Shameless Community,the fame fatigue chat,Fame Fatigue Chat Fame Fatigue Fame Fatigue Fatigue Chat Audience Fit,"fame fatigue chat, fame fatigue, fame fatigue, fatigue chat, fame, chat fame",34.0,Low,1,4.0,1.0,0.0,city,Bristol,1,4,"For Demo Shameless Community, 'the fame fatigue chat' shows a data-derived Fame Fatigue Chat Fame Fatigue Fame Fatigue Fatigue Chat Audience Fit opportunity. It has 1 posts, an engagement score of 4.0, a positive rate of 100.0%, and strongest visible audience segment Bristol (city)."
demo_shameless_community,Demo Shameless Community,guest,Guest Guest Guest Guest Guest Audience Fit,"guest, guest, guest, guest guest",28.5,Low,2,2.5,1.0,0.0,city,Canberra,1,4,"For Demo Shameless Community, 'guest' shows a data-derived Guest Guest Guest Guest Guest Audience Fit opportunity. It has 2 posts, an engagement score of 2.5, a positive rate of 100.0%, and strongest visible audience segment Canberra (city)."
demo_shameless_community,Demo Shameless Community,cancelled tours,Cancelled Tours Cancelled Tours Cancelled Cancelled Tours Cancelled Tours Audience Fit,"cancelled tours, cancelled tours cancelled, cancelled tours, cancelled tours, tours, cancelled",28.0,Medium,3,2.0,1.0,0.0,city,Melbourne,1,4,"For Demo Shameless Community, 'cancelled tours' shows a data-derived Cancelled Tours Cancelled Tours Cancelled Cancelled Tours Cancelled Tours Audience Fit opportunity. It has 3 posts, an engagement score of 2.0, a positive rate of 100.0%, and strongest visible audience segment Melbourne (city)."
demo_shameless_community,Demo Shameless Community,messy celeb interviews,Messy Celeb Interviews Celeb Interviews Messy Interviews Messy Celeb Messy Celeb Audience Fit,"messy celeb interviews, celeb interviews messy, interviews messy celeb, messy celeb, interviews, messy",26.34,Medium,3,2.333333333333333,0.667,0.333,city,Brisbane,2,4,"For Demo Shameless Community, 'messy celeb interviews' shows a data-derived Messy Celeb Interviews Celeb Interviews Messy Interviews Messy Celeb Messy Celeb Audience Fit opportunity. It has 3 posts, an engagement score of 2.33, a positive rate of 66.7%, and strongest visible audience segment Brisbane (city)."
demo_shameless_community,Demo Shameless Community,long read the celebrity memoir boom,Celebrity Memoir Boom Read Celebrity Memoir Long Read Celebrity Memoir Boom Long Audience Fit,"celebrity memoir boom, read celebrity memoir, long read celebrity, memoir boom long, memoir boom, long read",23.0,Low,1,2.0,1.0,0.0,city,Wellington,1,2,"For Demo Shameless Community, 'long read the celebrity memoir boom' shows a data-derived Celebrity Memoir Boom Read Celebrity Memoir Long Read Celebrity Memoir Boom Long Audience Fit opportunity. It has 1 posts, an engagement score of 2.0, a positive rate of 100.0%, and strongest visible audience segment Wellington (city)."
demo_shameless_community,Demo Shameless Community,smartest dumb watch,Smartest Dumb Watch Dumb Watch Smartest Dumb Watch April Dumb Watch Audience Fit,"smartest dumb watch, dumb watch smartest, dumb watch april, dumb watch, recs smartest, april recs",23.0,Low,1,2.0,1.0,0.0,city,Bristol,1,2,"For Demo Shameless Community, 'smartest dumb watch' shows a data-derived Smartest Dumb Watch Dumb Watch Smartest Dumb Watch April Dumb Watch Audience Fit opportunity. It has 1 posts, an engagement score of 2.0, a positive rate of 100.0%, and strongest visible audience segment Bristol (city)."
demo_shameless_community,Demo Shameless Community,what's your comfort rewatch,Comfort Rewatch Comfort Comfort Rewatch Rewatch Comfort Rewatch Comfort Rewatch Audience Fit,"comfort rewatch comfort, comfort rewatch, rewatch comfort rewatch, comfort rewatch, rewatch comfort, rewatch",23.0,Low,1,2.0,1.0,0.0,city,Auckland,1,2,"For Demo Shameless Community, 'what's your comfort rewatch' shows a data-derived Comfort Rewatch Comfort Comfort Rewatch Rewatch Comfort Rewatch Comfort Rewatch Audience Fit opportunity. It has 1 posts, an engagement score of 2.0, a positive rate of 100.0%, and strongest visible audience segment Auckland (city)."
demo_shameless_community,Demo Shameless Community,parasocial friendship,Parasocial Friendship Parasocial Friendship Parasocial Friendship Parasocial Friendship Friendship Parasocial Audience Fit,"parasocial friendship parasocial, friendship parasocial friendship, parasocial friendship, friendship parasocial, friendship",22.0,Medium,3,1.0,1.0,0.0,city,Adelaide,2,2,"For Demo Shameless Community, 'parasocial friendship' shows a data-derived Parasocial Friendship Parasocial Friendship Parasocial Friendship Parasocial Friendship Friendship Parasocial Audience Fit opportunity. It has 3 posts, an engagement score of 1.0, a positive rate of 100.0%, and strongest visible audience segment Adelaide (city)."
demo_shameless_community,Demo Shameless Community,would you shameless live listen melbourne,Listen Melbourne Shameless Melbourne Shameless Live Melbourne Shameless Live Listen Melbourne Audience Fit,"listen melbourne shameless, melbourne shameless live, melbourne shameless, live listen melbourne, shameless live, live",18.5,Low,1,3.0,0.0,1.0,city,London,1,3,"For Demo Shameless Community, 'would you shameless live listen melbourne' shows a data-derived Listen Melbourne Shameless Melbourne Shameless Live Melbourne Shameless Live Listen Melbourne Audience Fit opportunity. It has 1 posts, an engagement score of 3.0, a positive rate of 0.0%, and strongest visible audience segment London (city)."
