community_id,community_name,theme_label,sponsor_category,commercial_evidence_terms,commercial_score,commercial_confidence,post_count,engagement_score,positive_rate,negative_rate,top_segment_type,top_segment_value,top_segment_records,top_segment_engagement,recommendation_text,audience_interest_score,commercial_intent_score,brand_relevance_score,brand_safety_score,brand_safety_risk_rate,brand_safety_label,confidence_label,sponsor_fit_score,priority_label,commercial_intent_records,brand_relevance_records,brand_safety_risk_records,top_evidence_terms,commercial_intent_terms,matched_keywords
demo_shameless_community,Demo Shameless Community,tabloid ethics,Tabloid Ethics Circling Circling Tabloid Ethics Tabloid Ethics Tabloid Ethics Tabloid Ethics Audience Fit,"tabloid ethics circling, circling tabloid ethics, tabloid ethics tabloid, ethics tabloid ethics, ethics circling tabloid, tabloid ethics",50.5,Low,1,7.0,1.0,0.0,city,Wellington,1,7,"For Demo Shameless Community, 'tabloid ethics' shows a data-derived Tabloid Ethics Circling Circling Tabloid Ethics Tabloid Ethics Tabloid Ethics Tabloid Ethics Audience Fit opportunity. It has 1 posts, an engagement score of 7.0, a positive rate of 100.0%, and strongest visible audience segment Wellington (city).",49.4,67.1,76.0,100.0,0.0,Sponsor safe,Low,67.6,Medium,1,1,0,"tabloid ethics circling, circling tabloid ethics, tabloid ethics tabloid, ethics tabloid ethics, ethics circling tabloid, tabloid ethics","tabloid ethics circling, circling tabloid ethics, tabloid ethics tabloid, ethics tabloid ethics, ethics circling tabloid, tabloid ethics",
demo_shameless_community,Demo Shameless Community,celebrity memoirs,Celebrity Memoirs Celebrity Memoirs Memoirs Celebrity Memoirs Celebrity Memoirs Audience Fit,"celebrity memoirs, celebrity memoirs, memoirs celebrity memoirs, celebrity memoirs, celebrity memoirs celebrity, memoirs",41.0,Low,2,4.5,1.0,0.0,industry,Healthcare,2,9,"For Demo Shameless Community, 'celebrity memoirs' shows a data-derived Celebrity Memoirs Celebrity Memoirs Memoirs Celebrity Memoirs Celebrity Memoirs Audience Fit opportunity. It has 2 posts, an engagement score of 4.5, a positive rate of 100.0%, and strongest visible audience segment Healthcare (industry).",44.1,56.1,82.0,100.0,0.0,Sponsor safe,Low,63.7,Medium,2,2,0,"celebrity memoirs, celebrity memoirs, memoirs celebrity memoirs, celebrity memoirs, celebrity memoirs celebrity, memoirs","celebrity memoirs, celebrity memoirs, memoirs celebrity memoirs, celebrity memoirs, celebrity memoirs celebrity, memoirs",
demo_shameless_community,Demo Shameless Community,brand founder scandals,Brand Founder Scandals Founder Scandals Brand Scandals Brand Founder Founder Scandals Audience Fit,"brand founder scandals, founder scandals brand, scandals brand founder, founder scandals, scandals brand, scandals",45.0,Low,1,6.0,1.0,0.0,city,Adelaide,1,6,"For Demo Shameless Community, 'brand founder scandals' shows a data-derived Brand Founder Scandals Founder Scandals Brand Scandals Brand Founder Founder Scandals Audience Fit opportunity. It has 1 posts, an engagement score of 6.0, a positive rate of 100.0%, and strongest visible audience segment Adelaide (city).",42.9,60.7,76.0,100.0,0.0,Sponsor safe,Low,63.4,Medium,1,1,0,"brand founder scandals, founder scandals brand, scandals brand founder, founder scandals, scandals brand, scandals","brand founder scandals, founder scandals brand, scandals brand founder, founder scandals, scandals brand, scandals",
demo_shameless_community,Demo Shameless Community,girlboss backlash,Girlboss Backlash Girlboss Backlash Girlboss Backlash Girlboss Backlash Audience Fit,"girlboss backlash, girlboss backlash, girlboss backlash, girlboss backlash, backlash, backlash",37.0,Medium,4,3.5,0.75,0.0,gender,female,2,8,"For Demo Shameless Community, 'girlboss backlash' shows a data-derived Girlboss Backlash Girlboss Backlash Girlboss Backlash Girlboss Backlash Audience Fit opportunity. It has 4 posts, an engagement score of 3.5, a positive rate of 75.0%, and strongest visible audience segment female (gender).",46.4,60.6,64.5,100.0,0.0,Sponsor safe,Medium,62.3,Medium,4,2,0,"girlboss backlash, girlboss backlash, girlboss backlash, girlboss backlash, backlash, backlash","girlboss backlash, girlboss backlash, girlboss backlash, girlboss backlash, backlash, backlash",
demo_shameless_community,Demo Shameless Community,sad girl pop,Pop Circling Sad Sad Girl Pop Girl Pop Sad Girl Audience Fit,"pop circling sad, sad girl pop, girl pop, sad girl",39.0,High,5,4.2,0.4,0.4,gender,non_binary,3,8,"For Demo Shameless Community, 'sad girl pop' shows a data-derived Pop Circling Sad Sad Girl Pop Girl Pop Sad Girl Audience Fit opportunity. It has 5 posts, an engagement score of 4.2, a positive rate of 40.0%, and strongest visible audience segment non_binary (gender).",54.3,74.9,46.0,60.0,40.0,Review before pitching,High,59.7,Medium,5,3,2,"pop circling sad, sad girl pop, girl pop, sad girl","pop circling sad, sad girl pop, girl pop, sad girl",
demo_shameless_community,Demo Shameless Community,poll you like guest more,Poll Like Guest Guest Poll Guest Host Chats Audience Fit,"poll like guest, guest poll, guest, host chats, like guest, host",39.5,Low,1,5.0,1.0,0.0,city,Newcastle,1,5,"For Demo Shameless Community, 'poll you like guest more' shows a data-derived Poll Like Guest Guest Poll Guest Host Chats Audience Fit opportunity. It has 1 posts, an engagement score of 5.0, a positive rate of 100.0%, and strongest visible audience segment Newcastle (city).",36.5,54.4,76.0,100.0,0.0,Sponsor safe,Low,59.3,Medium,1,1,0,"poll like guest, guest poll, guest, host chats, like guest, host","poll like guest, guest poll, guest, host chats, like guest, host",
demo_shameless_community,Demo Shameless Community,wellness rebrands,Wellness Rebrands Wellness Rebrands Wellness Rebrands Wellness Rebrands Wellness Rebrands Audience Fit,"wellness rebrands, wellness rebrands, wellness rebrands wellness, rebrands wellness rebrands, wellness rebrands, rebrands",39.5,Low,1,5.0,1.0,0.0,city,Sydney,1,5,"For Demo Shameless Community, 'wellness rebrands' shows a data-derived Wellness Rebrands Wellness Rebrands Wellness Rebrands Wellness Rebrands Wellness Rebrands Audience Fit opportunity. It has 1 posts, an engagement score of 5.0, a positive rate of 100.0%, and strongest visible audience segment Sydney (city).",36.5,54.4,76.0,100.0,0.0,Sponsor safe,Low,59.3,Medium,1,1,0,"wellness rebrands, wellness rebrands, wellness rebrands wellness, rebrands wellness rebrands, wellness rebrands, rebrands","wellness rebrands, wellness rebrands, wellness rebrands wellness, rebrands wellness rebrands, wellness rebrands, rebrands",
demo_shameless_community,Demo Shameless Community,cancelled tours,Cancelled Tours Cancelled Tours Cancelled Cancelled Tours Cancelled Tours Audience Fit,"cancelled tours, cancelled tours cancelled, cancelled tours, cancelled tours, tours, cancelled",28.0,Medium,3,2.0,1.0,0.0,city,Melbourne,1,4,"For Demo Shameless Community, 'cancelled tours' shows a data-derived Cancelled Tours Cancelled Tours Cancelled Cancelled Tours Cancelled Tours Audience Fit opportunity. It has 3 posts, an engagement score of 2.0, a positive rate of 100.0%, and strongest visible audience segment Melbourne (city).",28.8,50.2,76.0,100.0,0.0,Sponsor safe,Medium,55.3,Medium,3,1,0,"cancelled tours, cancelled tours cancelled, cancelled tours, cancelled tours, tours, cancelled","cancelled tours, cancelled tours cancelled, cancelled tours, cancelled tours, tours, cancelled",
demo_shameless_community,Demo Shameless Community,have redemption arcs,Redemption Arcs Redemption Arcs Redemption Arcs Redemption Arcs Redemption Audience Fit,"redemption arcs, redemption arcs, redemption arcs, redemption arcs redemption, arcs redemption arcs, redemption",34.0,Low,1,4.0,1.0,0.0,city,Wellington,1,4,"For Demo Shameless Community, 'have redemption arcs' shows a data-derived Redemption Arcs Redemption Arcs Redemption Arcs Redemption Arcs Redemption Audience Fit opportunity. It has 1 posts, an engagement score of 4.0, a positive rate of 100.0%, and strongest visible audience segment Wellington (city).",30.1,48.1,76.0,100.0,0.0,Sponsor safe,Low,55.2,Medium,1,1,0,"redemption arcs, redemption arcs, redemption arcs, redemption arcs redemption, arcs redemption arcs, redemption","redemption arcs, redemption arcs, redemption arcs, redemption arcs redemption, arcs redemption arcs, redemption",
demo_shameless_community,Demo Shameless Community,redemption arcs,Redemption Arcs Redemption Arcs Redemption Arcs Redemption Arcs Redemption Audience Fit,"redemption arcs, redemption arcs, redemption arcs, redemption arcs redemption, redemption arcs, arcs redemption arcs",34.0,Low,1,4.0,1.0,0.0,city,Auckland,1,4,"For Demo Shameless Community, 'redemption arcs' shows a data-derived Redemption Arcs Redemption Arcs Redemption Arcs Redemption Arcs Redemption Audience Fit opportunity. It has 1 posts, an engagement score of 4.0, a positive rate of 100.0%, and strongest visible audience segment Auckland (city).",30.1,48.1,76.0,100.0,0.0,Sponsor safe,Low,55.2,Medium,1,1,0,"redemption arcs, redemption arcs, redemption arcs, redemption arcs redemption, redemption arcs, arcs redemption arcs","redemption arcs, redemption arcs, redemption arcs, redemption arcs redemption, redemption arcs, arcs redemption arcs",
demo_shameless_community,Demo Shameless Community,the fame fatigue chat,Fame Fatigue Chat Fame Fatigue Fame Fatigue Fatigue Chat Audience Fit,"fame fatigue chat, fame fatigue, fame fatigue, fatigue chat, fame, chat fame",34.0,Low,1,4.0,1.0,0.0,city,Bristol,1,4,"For Demo Shameless Community, 'the fame fatigue chat' shows a data-derived Fame Fatigue Chat Fame Fatigue Fame Fatigue Fatigue Chat Audience Fit opportunity. It has 1 posts, an engagement score of 4.0, a positive rate of 100.0%, and strongest visible audience segment Bristol (city).",30.1,48.1,76.0,100.0,0.0,Sponsor safe,Low,55.2,Medium,1,1,0,"fame fatigue chat, fame fatigue, fame fatigue, fatigue chat, fame, chat fame","fame fatigue chat, fame fatigue, fame fatigue, fatigue chat, fame, chat fame",
demo_shameless_community,Demo Shameless Community,guest,Guest Guest Guest Guest Guest Audience Fit,"guest, guest, guest, guest guest",28.5,Low,2,2.5,1.0,0.0,city,Canberra,1,4,"For Demo Shameless Community, 'guest' shows a data-derived Guest Guest Guest Guest Guest Audience Fit opportunity. It has 2 posts, an engagement score of 2.5, a positive rate of 100.0%, and strongest visible audience segment Canberra (city).",26.9,41.8,76.0,100.0,0.0,Sponsor safe,Low,52.2,Medium,2,1,0,"guest, guest, guest, guest guest","guest, guest, guest, guest guest",
demo_shameless_community,Demo Shameless Community,parasocial friendship,Parasocial Friendship Parasocial Friendship Parasocial Friendship Parasocial Friendship Friendship Parasocial Audience Fit,"parasocial friendship parasocial, friendship parasocial friendship, parasocial friendship, friendship parasocial, friendship",22.0,Medium,3,1.0,1.0,0.0,city,Adelaide,2,2,"For Demo Shameless Community, 'parasocial friendship' shows a data-derived Parasocial Friendship Parasocial Friendship Parasocial Friendship Parasocial Friendship Friendship Parasocial Audience Fit opportunity. It has 3 posts, an engagement score of 1.0, a positive rate of 100.0%, and strongest visible audience segment Adelaide (city).",21.0,43.3,82.0,100.0,0.0,Sponsor safe,Medium,51.7,Medium,3,2,0,"parasocial friendship parasocial, friendship parasocial friendship, parasocial friendship, friendship parasocial, friendship","parasocial friendship parasocial, friendship parasocial friendship, parasocial friendship, friendship parasocial, friendship",
demo_shameless_community,Demo Shameless Community,messy celeb interviews,Messy Celeb Interviews Celeb Interviews Messy Interviews Messy Celeb Messy Celeb Audience Fit,"messy celeb interviews, celeb interviews messy, interviews messy celeb, messy celeb, interviews, messy",26.34,Medium,3,2.333333333333333,0.667,0.333,city,Brisbane,2,4,"For Demo Shameless Community, 'messy celeb interviews' shows a data-derived Messy Celeb Interviews Celeb Interviews Messy Interviews Messy Celeb Messy Celeb Audience Fit opportunity. It has 3 posts, an engagement score of 2.33, a positive rate of 66.7%, and strongest visible audience segment Brisbane (city).",30.5,48.3,58.7,66.7,33.3,Moderate risk,Medium,46.9,Medium,3,2,1,"messy celeb interviews, celeb interviews messy, interviews messy celeb, messy celeb, interviews, messy","messy celeb interviews, celeb interviews messy, interviews messy celeb, messy celeb, interviews, messy",
demo_shameless_community,Demo Shameless Community,long read the celebrity memoir boom,Celebrity Memoir Boom Read Celebrity Memoir Long Read Celebrity Memoir Boom Long Audience Fit,"celebrity memoir boom, read celebrity memoir, long read celebrity, memoir boom long, memoir boom, long read",23.0,Low,1,2.0,1.0,0.0,city,Wellington,1,2,"For Demo Shameless Community, 'long read the celebrity memoir boom' shows a data-derived Celebrity Memoir Boom Read Celebrity Memoir Long Read Celebrity Memoir Boom Long Audience Fit opportunity. It has 1 posts, an engagement score of 2.0, a positive rate of 100.0%, and strongest visible audience segment Wellington (city).",17.2,35.5,76.0,100.0,0.0,Sponsor safe,Low,46.9,Medium,1,1,0,"celebrity memoir boom, read celebrity memoir, long read celebrity, memoir boom long, memoir boom, long read","celebrity memoir boom, read celebrity memoir, long read celebrity, memoir boom long, memoir boom, long read",
demo_shameless_community,Demo Shameless Community,smartest dumb watch,Smartest Dumb Watch Dumb Watch Smartest Dumb Watch April Dumb Watch Audience Fit,"smartest dumb watch, dumb watch smartest, dumb watch april, dumb watch, recs smartest, april recs",23.0,Low,1,2.0,1.0,0.0,city,Bristol,1,2,"For Demo Shameless Community, 'smartest dumb watch' shows a data-derived Smartest Dumb Watch Dumb Watch Smartest Dumb Watch April Dumb Watch Audience Fit opportunity. It has 1 posts, an engagement score of 2.0, a positive rate of 100.0%, and strongest visible audience segment Bristol (city).",17.2,35.5,76.0,100.0,0.0,Sponsor safe,Low,46.9,Medium,1,1,0,"smartest dumb watch, dumb watch smartest, dumb watch april, dumb watch, recs smartest, april recs","smartest dumb watch, dumb watch smartest, dumb watch april, dumb watch, recs smartest, april recs",
demo_shameless_community,Demo Shameless Community,what's your comfort rewatch,Comfort Rewatch Comfort Comfort Rewatch Rewatch Comfort Rewatch Comfort Rewatch Audience Fit,"comfort rewatch comfort, comfort rewatch, rewatch comfort rewatch, comfort rewatch, rewatch comfort, rewatch",23.0,Low,1,2.0,1.0,0.0,city,Auckland,1,2,"For Demo Shameless Community, 'what's your comfort rewatch' shows a data-derived Comfort Rewatch Comfort Comfort Rewatch Rewatch Comfort Rewatch Comfort Rewatch Audience Fit opportunity. It has 1 posts, an engagement score of 2.0, a positive rate of 100.0%, and strongest visible audience segment Auckland (city).",17.2,35.5,76.0,100.0,0.0,Sponsor safe,Low,46.9,Medium,1,1,0,"comfort rewatch comfort, comfort rewatch, rewatch comfort rewatch, comfort rewatch, rewatch comfort, rewatch","comfort rewatch comfort, comfort rewatch, rewatch comfort rewatch, comfort rewatch, rewatch comfort, rewatch",
demo_shameless_community,Demo Shameless Community,would you shameless live listen melbourne,Listen Melbourne Shameless Melbourne Shameless Live Melbourne Shameless Live Listen Melbourne Audience Fit,"listen melbourne shameless, melbourne shameless live, melbourne shameless, live listen melbourne, shameless live, live",18.5,Low,1,3.0,0.0,1.0,city,London,1,3,"For Demo Shameless Community, 'would you shameless live listen melbourne' shows a data-derived Listen Melbourne Shameless Melbourne Shameless Live Melbourne Shameless Live Listen Melbourne Audience Fit opportunity. It has 1 posts, an engagement score of 3.0, a positive rate of 0.0%, and strongest visible audience segment London (city).",23.7,30.3,6.0,0.0,100.0,Review before pitching,Low,18.6,Low,1,1,1,"listen melbourne shameless, melbourne shameless live, melbourne shameless, live listen melbourne, shameless live, live","listen melbourne shameless, melbourne shameless live, melbourne shameless, live listen melbourne, shameless live, live",
